Nvec, Time,Error,Count, M, Prob
8, 1006, 0.00000000000009769963, 100, 100, 1

16, 784.513, 0.00000000000057054361, 100, 100, 1

24, 743.33, 0.00000000000065261685, 100, 100, 1

32, 704.015, 0.00000000000055866423, 100, 100, 1

40, 697.459, 0.00000000000060984551, 100, 100, 1

48, 696.295, 0.00000000000031263880, 100, 100, 1

56, 704.96, 0.00000000000018740565, 100, 100, 1

64, 669.159, 0.00000000000055613847, 100, 100, 1

72, 694.994, 0.00000000000031641356, 100, 100, 1

80, 705.425, 0.00000000000016947554, 100, 100, 1

88, 680.894, 0.00000000000012345680, 100, 100, 1

96, 714.639, 0.00000000000058253402, 100, 100, 1

104, 720.119, 0.00000000000019362290, 100, 100, 1

112, 707.305, 0.00000000000033484326, 100, 100, 1

120, 687.82, 0.00000000000032360226, 100, 100, 1

128, 701.105, 0.00000000000040006887, 100, 100, 1

136, 688.076, 0.00000000000023608893, 100, 100, 1

144, 708.984, 0.00000000000030070391, 100, 100, 1

152, 719.04, 0.00000000000003136380, 100, 100, 1

160, 694.008, 0.00000000000002575717, 100, 100, 1

168, 716.766, 0.00000000000004085621, 100, 100, 1

176, 712.038, 0.00000000000011046719, 100, 100, 1

184, 675.364, 0.00000000000021632696, 100, 100, 1

192, 687.649, 0.00000000000010302870, 100, 100, 1

200, 722.535, 0.00000000000024813485, 100, 100, 1

208, 700.817, 0.00000000000014299673, 100, 100, 1

216, 646.532, 0.00000000000029842795, 100, 100, 1

224, 683.893, 0.00000000000005026621, 100, 100, 1

232, 634.495, 0.00000000000009769963, 100, 100, 1

240, 717.213, 0.00000000000004264644, 100, 100, 1

248, 692.758, 0.00000000000000122125, 100, 100, 1

256, 697.89, 0.00000000000013322676, 100, 100, 1

264, 728.362, 0.00000000000000890954, 100, 100, 1

272, 618.917, 0.00000000000020380919, 100, 100, 1

280, 674.325, 0.00000000000012947976, 100, 100, 1

288, 688.688, 0.00000000000038369308, 100, 100, 1

296, 642.604, 0.00000000000021335711, 100, 100, 1

304, 710.173, 0.00000000000005206946, 100, 100, 1

312, 695.83, 0.00000000000004413137, 100, 100, 1

320, 698.898, 0.00000000000001757492, 100, 100, 1

328, 690.883, 0.00000000000008087975, 100, 100, 1

336, 767.224, 0.00000000000013117285, 100, 100, 1

344, 729.843, 0.00000000000000138778, 100, 100, 1

352, 778.384, 0.00000000000057509553, 100, 100, 1

360, 662.838, 0.00000000000003928108, 100, 100, 1

368, 638.125, 0.00000000000013855583, 100, 100, 1

376, 593.289, 0.00000000000023092639, 100, 100, 1

384, 604.648, 0.00000000000022915003, 100, 100, 1

392, 684.91, 0.00000000000014210855, 100, 100, 1

400, 701.056, 0.00000000000000668909, 100, 100, 1

408, 666.199, 0.00000000000015504265, 100, 100, 1

416, 696.48, 0.00000000000011511625, 100, 100, 1

424, 658.326, 0.00000000000008676393, 100, 100, 1

432, 668.429, 0.00000000000008641698, 100, 100, 1

440, 715.661, 0.00000000000008171241, 100, 100, 1

448, 704.083, 0.00000000000014879764, 100, 100, 1

456, 722.713, 0.00000000000000088818, 100, 100, 1

464, 721.218, 0.00000000000004625467, 100, 100, 1

472, 769.108, 0.00000000000011635137, 100, 100, 1

480, 801.391, 0.00000000000029529157, 100, 100, 1

